ID,State,State Abbreviation,Latitude,Longitude,HxPosition,HyPosition,SxPosition,SyPosition,Soil Name,Level Number,Level Name,Start Depth (cm),End Depth (cm),Munsell,RGB
17,Illinois,,40,-89,5.5,2.5,6,4,Drummer,5,Btg1,64,81,2.5Y 5/2,"rgb(134, 121, 100)"
17,Illinois,,40,-89,5.5,2.5,6,4,Drummer,6,Btg2,81,104,2.5Y 5/1,"rgb(127, 121, 110)"
17,Illinois,,40,-89,5.5,2.5,6,4,Drummer,7,2btg3,104,119,2.5Y 5/1,"rgb(127, 121, 110)"
17,Illinois,,40,-89,5.5,2.5,6,4,Drummer,8,2cg,119,152,10YR 4/1,"rgb(103, 95, 84)"
18,Indiana,IN,40.273502,-86.126976,6.5,2.5,6,3,Miami,1,Ap,0,20,10YR 4/3,"rgb(115, 92, 65)"
18,Indiana,,40.273502,-86.126976,6.5,2.5,6,3,Miami,2,Bt1,20,33,10YR 4/4,"rgb(122, 92, 54)"
18,Indiana,,40.273502,-86.126976,6.5,2.5,6,3,Miami,3,2Bt2,33,58,10YR 4/4,"rgb(122, 92, 54)"
18,Indiana,,40.273502,-86.126976,6.5,2.5,6,3,Miami,4,2Bt3,58,79,10YR 4/4,"rgb(122, 92, 54)"
18,Indiana,,40.273502,-86.126976,6.5,2.5,6,3,Miami,5,2Bct,79,91,10YR 4/3,"rgb(115, 92, 65)"
18,Indiana,,40.273502,-86.126976,6.5,2.5,6,3,Miami,6,2Cd,91,200,10YR 5/3,"rgb(141, 118, 90)"
19,Iowa,IA,42.032974,-93.581543,4.5,2.5,5,4,Tama,1,Ap,0,15,10YR 2/2,"rgb(61, 47, 33)"
19,Iowa,,42.032974,-93.581543,4.5,2.5,5,4,Tama,2,A1,15,25,10YR 2/2,"rgb(61, 47, 33)"
19,Iowa,,42.032974,-93.581543,4.5,2.5,5,4,Tama,3,A2,25,36,10YR 2/2,"rgb(61, 47, 33)"
19,Iowa,,42.032974,-93.581543,4.5,2.5,5,4,Tama,4,BA,36,46,10YR 3/2,"rgb(85, 70, 54)"
19,Iowa,,42.032974,-93.581543,4.5,2.5,5,4,Tama,5,Bt1,46,81,10YR 4/3,"rgb(115, 92, 65)"
19,Iowa,,42.032974,-93.581543,4.5,2.5,5,4,Tama,6,Bt2,81,114,10YR 4/4,"rgb(122, 92, 54)"
19,Iowa,,42.032974,-93.581543,4.5,2.5,5,4,Tama,7,BC,114,152,10YR 5/4,"rgb(148, 118, 79)"
20,Kansas,KS,38.5,-98,4.5,1.5,4,2,Harney,1,Ap,0,22.86,10YR 4/2,"rgb(111, 95, 76)"
20,Kansas,,38.5,-98,4.5,1.5,4,2,Harney,2,AB,22.86,30.48,10YR 4/2,"rgb(111, 95, 76)"
20,Kansas,,38.5,-98,4.5,1.5,4,2,Harney,3,Bt1,30.48,45.72,10YR 5/2,"rgb(137, 120, 101)"
20,Kansas,,38.5,-98,4.5,1.5,4,2,Harney,4,Bt2,45.72,71.12,10YR 5/2,"rgb(137, 120, 101)"
20,Kansas,,38.5,-98,4.5,1.5,4,2,Harney,5,BCk,71.12,88.9,10YR 5/3,"rgb(141, 118, 90)"
20,Kansas,,38.5,-98,4.5,1.5,4,2,Harney,6,Ck,88.9,119.38,10YR 6/3,"rgb(167, 144, 114)"
